TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target,Target_pca
14.089999999999975,1,36,0,70.0,0,81.0,1.0,5112.21,0,0
376.24,1,15,0,68.0,0,141.0,1.0,13758.91,1,1
126.29000000000002,1,23,2,19.0,3,56.0,1.0,1122.35,2,2
184.5,1,33,2,26.0,3,25.0,1.0,8569.06,0,0
92.15,1,28,0,18.0,3,172.0,1.0,781.6800000000003,2,2
7.079999999999984,0,39,0,37.0,0,139.0,1.0,13316.71,0,0
171.42,0,16,1,67.0,2,291.0,1.0,2796.24,1,1
106.23000000000002,0,11,1,51.0,1,86.0,1.0,9095.14,1,1
815.96,1,26,0,55.0,0,120.0,1.0,1021.8800000000001,2,2
17.78000000000003,0,0,2,52.0,1,59.0,1.0,7599.52,3,3
190.02,1,22,2,21.0,3,173.0,1.0,1528.81,2,2
494.52,0,23,1,24.0,3,111.0,1.0,1620.02,2,2
781.76,1,22,0,26.0,3,123.0,1.0,189.6899999999996,2,2
166.99,1,21,2,18.0,3,134.0,1.0,299.9300000000003,2,1
465.45,1,10,0,36.0,1,129.0,1.0,3465.54,1,1
555.8,0,2,1,19.0,3,158.0,1.0,1131.2600000000002,3,3
492.93,1,8,2,39.0,1,234.0,1.0,5109.97,3,3
18.680000000000007,0,0,1,59.0,2,106.0,1.0,7948.37,3,3
71.48000000000002,0,8,2,18.0,3,169.0,1.0,6568.59,3,3
59.31999999999999,1,20,1,71.0,2,38.0,1.0,5750.89,1,1
85.76999999999998,1,19,1,38.0,0,93.0,1.0,9146.19,1,1
52.19999999999999,1,1,2,39.0,1,120.0,1.0,8974.93,3,3
345.84,1,13,2,22.0,3,142.0,3.0,1402.5,1,1
145.54000000000002,1,33,2,21.0,3,96.0,1.0,1930.96,0,0
7.490000000000009,0,15,2,65.0,2,276.0,1.0,3634.67,1,1
246.93,1,24,0,23.0,3,158.0,5.0,673.3500000000004,2,2
40.31999999999999,1,25,1,37.0,1,95.0,1.0,2686.52,2,2
127.44999999999999,1,19,2,44.0,0,197.0,1.0,1772.06,1,1
56.170000000000016,1,11,1,27.0,3,283.0,1.0,1351.69,1,1
28.310000000000002,0,24,2,59.0,0,20.0,1.0,8334.47,2,2
59.120000000000005,1,3,0,29.0,0,257.0,1.0,9823.64,3,3
396.45,1,27,0,49.0,1,168.0,3.0,9690.15,2,2
877.81,1,20,2,22.0,3,150.0,1.0,399.0,1,1
255.26,0,37,1,45.0,0,50.0,1.0,14815.87,0,0
124.75999999999999,1,39,1,49.0,1,45.0,1.0,5764.72,0,0
78.13,1,25,1,26.0,3,145.0,1.0,900.6099999999997,2,2
795.31,1,23,0,66.0,0,90.0,2.0,7914.88,2,2
335.63,1,28,2,55.0,2,216.0,1.0,1019.3899999999999,2,2
328.47,1,35,0,63.0,2,119.0,1.0,4323.66,0,0
34.01999999999998,1,30,2,38.0,0,19.0,1.0,14214.48,2,2
241.42,0,5,2,57.0,0,116.0,1.0,13357.02,3,3
55.31999999999999,1,40,0,19.0,3,117.0,1.0,241.78999999999996,0,0
304.31,1,21,1,27.0,3,33.0,1.0,868.6099999999997,2,1
435.27,1,6,1,74.0,2,90.0,1.0,4673.28,3,3
164.49,1,3,1,26.0,3,75.0,1.0,1509.27,3,3
510.24,1,28,2,19.0,3,105.0,1.0,781.6999999999998,2,2
626.9,1,10,2,26.0,3,138.0,1.0,265.5100000000002,1,1
22.00999999999999,0,34,2,41.0,1,175.0,1.0,1335.0900000000001,0,0
425.34,0,18,2,69.0,2,121.0,1.0,3907.54,1,1
424.56,1,29,2,51.0,1,264.0,1.0,5183.85,2,2
85.43,1,41,1,67.0,0,145.0,1.0,14904.9,0,0
169.5,1,36,1,28.0,3,142.0,1.0,918.8800000000001,0,0
104.63,1,29,0,62.0,2,90.0,1.0,4477.78,2,2
316.95,1,23,1,25.0,3,83.0,1.0,1324.0299999999997,2,2
60.53999999999999,0,8,1,57.0,2,52.0,1.0,3534.93,3,3
292.56,0,9,1,68.0,2,61.0,1.0,4638.37,3,3
386.52,1,16,1,48.0,1,28.0,1.0,5630.61,1,1
112.07,1,18,1,23.0,3,51.0,1.0,930.3000000000002,1,1
568.52,1,16,0,46.0,1,152.0,1.0,5499.91,1,1
263.99,1,9,1,79.0,2,227.0,2.0,4175.02,3,3
349.64,1,19,2,48.0,1,226.0,1.0,6651.62,1,1
601.4,0,30,1,56.0,1,104.0,1.0,8458.29,2,2
5.769999999999982,1,5,2,50.0,0,124.0,1.0,13988.12,3,3
201.32999999999998,0,26,1,42.0,1,186.0,1.0,2585.07,2,2
298.42,1,16,1,56.0,2,225.0,1.0,3014.75,1,1
521.06,1,0,1,25.0,3,128.0,1.0,1951.42,3,3
117.28,0,2,2,60.0,1,16.0,1.0,3665.77,3,3
133.55,1,1,0,44.0,1,220.0,1.0,3846.28,3,3
143.21,1,9,2,35.0,1,135.0,1.0,6374.82,3,3
24.769999999999982,1,4,0,62.0,2,55.0,1.0,5866.01,3,3
233.92,0,17,2,26.0,3,280.0,1.0,6537.62,1,1
1212.51,1,16,1,20.0,3,24.000000000000014,1.0,605.9499999999998,1,1
91.53,1,25,1,44.0,0,69.0,1.0,14676.05,2,2
120.29000000000002,1,24,1,19.0,3,77.0,1.0,1362.3900000000003,2,2
174.25,1,39,2,50.0,0,67.0,1.0,10528.34,0,0
183.71,1,10,0,38.0,1,102.0,1.0,552.5200000000004,1,1
922.55,1,11,0,63.0,2,87.0,1.0,4715.84,1,1
259.91,1,10,2,49.0,0,170.0,1.0,7176.86,1,1
154.71,1,36,2,34.0,0,157.0,1.0,1523.7200000000003,0,0
1340.19,0,2,2,54.0,1,30.0,1.0,8654.28,3,3
24.560000000000002,1,23,1,64.0,0,69.0,1.0,9869.93,2,2
9.610000000000014,0,36,2,58.0,0,179.0,1.0,12883.91,0,0
392.96,1,18,2,24.0,3,100.0,1.0,791.6499999999996,1,1
716.93,0,25,2,60.0,2,34.0,1.0,4064.02,2,2
223.85,1,18,0,53.0,1,55.0,4.0,2929.91,1,1
230.66,1,15,1,21.0,3,135.0,1.0,618.0500000000002,1,1
644.17,1,35,0,29.0,1,72.0,1.0,1143.52,0,0
508.68,0,23,1,51.0,1,127.0,1.0,7708.41,2,2
858.6299999999999,0,37,1,27.0,3,185.0,1.0,1872.96,0,0
25.360000000000014,1,21,0,57.0,1,78.0,1.0,201.03999999999996,2,1
147.62,1,5,1,71.0,2,133.0,1.0,2115.8,3,3
115.02000000000001,1,35,1,37.0,0,175.0,1.0,7643.66,0,0
383.37,1,13,1,30.0,1,24.000000000000014,1.0,8901.93,1,1
98.54000000000002,0,12,2,20.0,3,167.0,1.0,9383.43,1,1
196.16,1,41,1,27.0,1,146.0,1.0,9418.86,0,0
129.94,1,19,0,32.0,1,235.0,1.0,7954.92,1,1
306.9,1,7,2,46.0,1,51.0,1.0,9418.08,3,3
114.98000000000002,1,39,2,59.0,2,80.0,1.0,6144.68,0,0
756.59,1,34,1,27.0,3,16.999999999999986,1.0,420.64999999999964,0,0
503.76,1,20,2,22.0,3,35.0,1.0,447.8199999999997,1,1
143.03,1,35,0,63.0,2,147.0,1.0,7981.45,0,0
1045.22,1,8,0,53.0,2,73.0,1.0,1829.9,3,3
254.37,0,9,2,51.0,1,174.0,1.0,8849.26,3,3
213.76,0,9,0,78.0,2,282.0,1.0,3528.72,3,3
327.86,1,14,2,40.0,1,104.0,1.0,480.15999999999985,1,1
2.5,1,36,2,47.0,0,107.0,1.0,12145.27,0,0
300.08,0,2,2,68.0,0,47.0,1.0,13546.75,3,3
56.97999999999999,0,28,0,43.0,1,122.0,2.0,5688.37,2,2
407.65,1,4,2,26.0,1,62.0,1.0,8346.64,3,3
115.82999999999998,1,14,1,39.0,1,167.0,1.0,6481.04,1,1
53.56999999999999,1,15,0,69.0,2,121.0,1.0,1651.33,1,1
63.34,0,11,2,46.0,0,165.0,1.0,11174.94,1,1
317.87,1,11,2,27.0,3,91.0,1.0,145.5,1,1
331.65,1,32,2,41.0,1,61.0,1.0,4172.57,0,2
5.0400000000000205,1,42,0,56.0,2,41.0,1.0,5558.36,0,0
214.54,0,11,2,70.0,0,247.0,1.0,11151.53,1,1
598.81,1,30,1,57.0,0,158.0,1.0,1415.52,2,2
841.28,1,40,2,26.0,3,80.0,1.0,1103.6400000000003,0,0
38.14999999999998,1,23,2,26.0,3,108.0,1.0,303.6800000000003,2,2
1036.66,1,35,1,58.0,0,144.0,1.0,5541.57,0,0
124.72,1,28,1,33.0,1,105.0,1.0,6309.8,2,2
302.45,0,35,1,78.0,2,40.0,1.0,5133.61,0,0
208.04000000000002,1,21,2,47.0,1,273.0,1.0,9344.98,2,1
5.769999999999982,0,20,1,23.0,3,254.0,1.0,1117.9700000000003,1,1
381.33,1,0,0,56.0,0,75.0,1.0,11835.35,3,3
16.160000000000025,1,25,0,50.0,0,124.0,1.0,14401.17,2,2
486.08,1,28,2,18.0,3,68.0,1.0,1748.69,2,2
336.39,1,35,1,21.0,3,18.0,1.0,1000.46,0,0
997.4299999999998,1,39,2,69.0,0,118.0,1.0,6810.05,0,0
234.57,1,6,2,23.0,3,120.0,1.0,263.97999999999956,3,3
6.0,1,6,2,30.0,0,246.0,1.0,5442.76,3,3
1049.9200000000003,1,11,0,80.0,2,21.0,1.0,2037.85,1,1
227.14,1,5,0,18.0,3,294.0,1.0,341.9399999999996,3,3
233.74,0,28,2,66.0,2,16.999999999999986,1.0,1066.5899999999997,2,2
45.849999999999966,1,20,0,20.0,3,92.0,1.0,1659.15,1,1
973.3900000000001,1,34,1,77.0,2,296.0,1.0,2042.2200000000003,0,0
415.5,1,22,0,66.0,0,141.0,1.0,10113.66,2,2
265.76,1,30,2,54.0,2,92.0,1.0,4446.17,2,2
69.4,1,41,2,80.0,2,113.0,1.0,6452.77,0,0
332.93,0,0,1,35.0,1,293.0,1.0,2788.2,3,3
267.9,1,35,2,20.0,3,160.0,1.0,596.1599999999999,0,0
496.03,1,37,1,61.0,0,265.00000000000006,1.0,12904.66,0,0
376.26,1,40,0,37.0,1,245.0,1.0,9062.4,0,0
83.01999999999998,0,39,2,36.0,1,171.0,1.0,9009.56,0,0
93.25999999999999,0,27,2,20.0,3,72.0,1.0,1152.1999999999998,2,2
803.3700000000001,0,22,1,68.0,0,129.0,1.0,12168.37,2,2
35.75999999999999,1,5,1,23.0,3,122.0,1.0,611.8599999999997,3,3
28.53000000000003,1,42,2,62.0,0,99.0,1.0,8670.53,0,0
139.53,0,21,2,53.0,0,177.0,1.0,10098.86,2,1
307.57,1,11,1,33.0,0,285.0,1.0,5307.74,1,1
60.650000000000006,0,40,1,56.0,2,53.0,1.0,1047.2800000000002,0,0
74.86000000000001,1,26,1,70.0,0,125.0,1.0,6921.48,2,2
231.91,1,22,0,34.0,1,165.0,1.0,112.76000000000022,2,2
126.20999999999998,1,3,1,75.0,2,268.0,1.0,5669.66,3,3
506.28,0,6,2,53.0,2,162.0,2.0,1309.9499999999998,3,3
304.35,1,15,1,31.0,1,36.0,1.0,4057.1,1,1
281.85,1,11,0,22.0,3,109.0,1.0,1585.98,1,1
777.88,1,15,1,31.0,1,16.999999999999986,1.0,6825.55,1,1
119.17999999999998,1,20,1,56.0,2,96.0,1.0,5516.5,1,1
177.19,1,6,2,76.0,2,43.0,1.0,5343.3,3,3
260.88,1,10,1,22.0,3,36.0,1.0,903.0500000000002,1,1
169.47,1,6,2,24.0,3,19.0,1.0,1806.1599999999999,3,3
73.23000000000002,1,32,1,26.0,3,14.0,1.0,787.7399999999998,0,2
1362.55,1,12,0,29.0,1,106.0,1.0,2429.68,1,1
792.57,1,3,0,19.0,3,164.0,1.0,770.3699999999999,3,3
237.06,1,31,2,71.0,2,46.0,1.0,1182.77,2,2
34.170000000000016,0,30,2,54.0,1,54.0,1.0,726.5500000000002,2,2
740.25,1,30,2,41.0,0,123.0,1.0,14464.3,2,2
453.54,1,0,0,58.0,0,82.0,1.0,12046.3,3,3
300.47,1,17,1,73.0,2,100.0,1.0,7885.64,1,1
110.93,0,41,1,19.0,3,201.0,1.0,1952.35,0,0
201.69,1,19,0,59.0,0,299.0,1.0,7328.52,1,1
399.21,1,32,0,59.0,1,109.0,1.0,3210.39,0,2
1041.88,1,17,2,78.0,2,57.0,1.0,5726.2,1,1
630.36,1,23,0,62.0,2,52.0,1.0,1363.65,2,2
10.939999999999998,0,30,0,60.0,1,245.0,1.0,1241.9899999999998,2,2
215.9,1,20,0,38.0,0,235.0,1.0,7873.28,1,1
1422.55,1,42,1,79.0,2,165.0,1.0,5674.32,0,0
444.89,0,19,1,43.0,0,101.0,1.0,10328.23,1,1
280.57,0,41,2,25.0,3,24.000000000000014,1.0,293.2399999999998,0,0
488.54,1,17,1,52.0,1,132.0,1.0,7486.63,1,1
3.300000000000068,0,20,1,50.0,0,131.0,1.0,11385.37,1,1
20.360000000000014,1,40,1,62.0,2,75.0,1.0,2762.48,0,0
493.11,1,7,1,53.0,2,236.0,1.0,7432.99,3,3
307.41,1,20,0,19.0,3,14.0,1.0,1057.0000000000005,1,1
11.180000000000007,1,1,2,43.0,0,161.0,1.0,5956.89,3,3
313.82,1,40,1,59.0,1,151.0,1.0,7261.59,0,0
140.98,1,22,1,60.0,1,100.0,1.0,8127.48,2,2
288.04,1,10,0,68.0,2,63.0,1.0,1748.02,1,1
800.55,1,28,0,31.0,1,108.0,1.0,9660.22,2,2
485.54,1,15,0,46.0,1,143.0,1.0,6371.51,1,1
521.15,1,18,0,54.0,0,214.0,1.0,9442.47,1,1
304.93,1,32,0,65.0,0,158.0,1.0,13531.22,0,2
694.2,1,25,0,61.0,2,72.0,1.0,1389.37,2,2
116.86000000000001,1,21,0,55.0,1,171.0,1.0,6706.56,2,1
74.88,1,1,0,25.0,3,202.0,1.0,420.6700000000001,3,3
890.24,0,19,2,33.0,1,161.0,1.0,5140.93,1,1
361.27,1,29,0,63.0,0,180.0,1.0,7945.57,2,2
131.56,1,5,1,44.0,0,42.0,1.0,5873.54,3,3
485.51,0,25,2,76.0,2,37.0,1.0,3074.45,2,2
547.87,1,8,0,64.0,2,131.0,1.0,6155.76,3,3
457.3,1,41,2,28.0,1,15.0,1.0,8318.29,0,0
506.24,1,6,0,58.0,1,64.0,1.0,230.09000000000015,3,3
486.59,1,16,1,57.0,2,119.0,1.0,2513.56,1,1
163.68,1,36,1,41.0,0,292.0,1.0,10090.05,0,0
581.65,1,4,0,22.0,3,176.0,1.0,480.1899999999996,3,3
52.00999999999999,1,23,0,48.0,0,85.0,1.0,1120.8800000000006,2,2
630.24,1,4,0,21.0,3,62.0,1.0,370.8100000000004,3,3
523.74,1,28,0,43.0,0,159.0,1.0,13498.55,2,2
705.5999999999999,1,31,1,40.0,0,124.0,3.0,14804.7,2,2
217.5,0,10,1,46.0,1,35.0,1.0,3057.4,1,1
91.48000000000002,1,13,0,51.0,0,141.0,1.0,14942.78,1,1
5.25,1,38,0,39.0,0,49.0,1.0,14143.32,0,0
54.03,0,25,0,56.0,2,161.0,1.0,6736.3,2,2
736.73,1,22,1,48.0,1,9.999999999999986,1.0,3313.07,2,2
33.06,0,13,2,53.0,2,170.0,1.0,1540.87,1,1
66.5,0,21,2,32.0,1,144.0,1.0,6820.23,2,1
588.54,1,32,1,32.0,1,130.0,1.0,714.4499999999998,0,2
173.5,1,26,0,21.0,3,282.0,1.0,1306.9099999999999,2,2
78.32999999999998,0,22,2,56.0,1,189.0,1.0,7255.33,2,2
40.660000000000025,1,21,1,59.0,2,156.0,1.0,1153.8400000000001,2,1
97.21999999999997,0,1,1,77.0,2,55.0,1.0,6647.73,3,3
34.06999999999999,1,30,1,22.0,3,81.0,1.0,8709.77,2,2
492.06000000000006,1,14,2,23.0,3,74.0,1.0,857.8999999999996,1,1
842.01,0,41,2,53.0,0,185.0,1.0,509.4499999999998,0,0
73.55000000000004,1,1,0,51.0,1,158.0,1.0,2812.06,3,3
760.53,1,31,2,57.0,1,118.0,1.0,6179.91,2,2
371.69,1,37,1,67.0,2,143.0,1.0,3484.32,0,0
218.96000000000004,1,39,0,18.0,3,13.0,1.0,754.21,0,0
227.39,1,1,2,18.0,3,65.0,1.0,751.0900000000001,3,3
237.99,0,18,1,39.0,0,86.0,1.0,8510.09,1,1
341.15,1,38,2,18.0,3,148.0,1.0,511.3699999999999,0,0
434.58,1,22,0,59.0,0,215.0,1.0,12648.32,2,2
312.88,0,32,1,54.0,1,44.0,1.0,233.21000000000004,0,2
75.15,1,4,0,23.0,3,154.0,1.0,1092.9199999999996,3,3
23.30000000000001,1,20,0,59.0,1,161.0,1.0,6711.15,1,1
47.379999999999995,0,39,2,25.0,3,61.0,1.0,459.3699999999999,0,0
512.81,1,34,1,79.0,2,30.0,1.0,6994.34,0,0
488.15,1,21,1,43.0,1,168.0,1.0,7071.09,2,1
12.819999999999993,1,13,0,44.0,1,156.0,1.0,9045.19,1,1
66.9,0,5,2,79.0,2,129.0,4.0,5238.71,3,3
535.91,1,19,2,43.0,1,22.0,1.0,9642.12,1,1
270.72,0,42,2,26.0,1,53.0,1.0,6263.96,0,0
97.98000000000002,1,10,1,72.0,2,18.0,1.0,7460.33,1,1
196.08,1,37,2,61.0,2,98.0,1.0,4233.82,0,0
251.18,1,38,0,42.0,1,246.0,1.0,8303.9,0,0
44.52000000000001,1,12,2,28.0,3,205.0,1.0,314.27999999999975,1,1
178.87,1,3,2,35.0,0,180.0,1.0,5241.23,3,3
1176.28,0,18,0,54.0,1,174.0,5.0,323.6899999999996,1,1
386.68,1,27,1,46.0,0,128.0,1.0,6863.06,2,2
167.14,1,10,2,76.0,2,20.0,1.0,3877.73,1,1
